,опыт работы,регион,пол,возраст,образование,вуз,язык,занятость,желаемая з/п,Последнее место работы
0,24 года,Санкт-Петербург,Мужчина,45 лет,Неоконченное высшее образование,Академия Культуры,Русский — Родной Английский — B1 — Средний,Занятость: полная занятость,100 000 ₽ на руки,Январь 2000 — по настоящее время24 года 5 месяцев
1,26 лет,Самара,Мужчина,49 лет,Высшее образование,"Самарский государственный аэрокосмический университет им. академика С.П. Королева (национальный исследовательский университет), Самара",Русский — Родной Английский — B2 — Средне-продвинутый Немецкий — B2 — Средне-продвинутый,Занятость: полная занятость,1 599 € на руки,Январь 2006 — по настоящее время18 лет 5 месяцев
2,2 года,Екатеринбург,Мужчина,23 года,Неоконченное высшее образование,"Уральский федеральный университет имени первого Президента России Б.Н. Ельцина, Екатеринбург",Русский — Родной Английский — B1 — Средний,Занятость: полная занятость,200 000 ₽ на руки,Июль 2021 — по настоящее время2 года 11 месяцев
3,25 years,Tomsk,Male,56 years,Higher education,Томский Институт Автоматизированных Систем Управления и Радиоэлектроники,Russian — Native English — B1 — Intermediate,"Employment: full time, part time, project work",50 000 ₽ in hand,September 1998 — currently25 years 9 months
4,12 лет,Пермь,Мужчина,38 лет,Высшее образование,"Пермский национальный исследовательский политехнический университет, Пермь",Русский — Родной Английский — B2 — Средне-продвинутый,Занятость: полная занятость,90 000 ₽ на руки,Сентябрь 2015 — по настоящее время8 лет 9 месяцев
5,10 лет,Балашов,Женщина,27 лет,Образование,,Русский — Родной Английский — A1 — Начальный,Занятость: частичная занятость,15 000 ₽ на руки,Апрель 2014 — по настоящее время10 лет 2 месяца
6,17 лет,Москва,Мужчина,37 лет,Образование,,Английский — C2 — В совершенстве,Занятость: полная занятость,70 000 ₽ на руки,Май 2007 — по настоящее время17 лет 1 месяц
7,15 лет,Лыткарино,Мужчина,,Высшее образование,"Московский государственный университет пищевых производств, Москва",Русский — Родной,Занятость: полная занятость,120 000 ₽ на руки,Январь 2009 — по настоящее время15 лет 5 месяцев
8,8 лет,Тюмень,Мужчина,32 года,Высшее образование,"Тюменский государственный архитектурно-строительный университет, Тюмень",Русский — Родной Английский — A1 — Начальный Немецкий — A1 — Начальный,"Занятость: полная занятость, частичная занятость",100 000 ₽ на руки,Сентябрь 2017 — Апрель 20246 лет 8 месяцев
9,25 лет,Новосибирск,Мужчина,,Высшее образование,"Новосибирский государственный технический университет, Новосибирск",Русский — Родной Английский — B2 — Средне-продвинутый,"Занятость: полная занятость, частичная занятость, проектная работа",120 000 ₽ на руки,Январь 1999 — по настоящее время25 лет 5 месяцев
10,8 years,Samara,Male,31 year,Incomplete higher education,СГАУ им.Королёва,Russian — Native English — B2 — Upper Intermediate,"Employment: full time, part time, project work, work placement",200 000 ₽ in hand,September 2019 — currently4 years 9 months
11,15 лет,Москва,Мужчина,66 лет,Высшее образование,Московский Энергетический Институт,Английский — B2 — Средне-продвинутый,Занятость: полная занятость,2 700 $ на руки,Февраль 2009 — по настоящее время15 лет 4 месяца
